player,best_over_odds,best_under_odds,best_point,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,average,projection,recent_form,edge,Category,AI_Projection,AI_Edge
Bismack Biyombo,100.0,-132.0,6.5,4.0,4.0,14.0,4.0,3.0,3.0,12.0,10.0,2.0,3.0,5.9,6.2,-8.5,-0.5999999999999996,Unknown,6.207000000000004,-0.2929999999999957
Bol Bol,-165.0,125.0,4.5,5.0,5.0,1.0,11.0,3.0,6.0,8.0,3.0,2.0,4.0,4.8,4.65,-11.833333333333334,0.2999999999999998,Unknown,4.651999999999992,0.15199999999999214
Bradley Beal,-115.0,-115.0,3.5,3.0,1.0,2.0,4.0,5.0,4.0,6.0,9.0,3.0,5.0,4.2,3.85,-75.5,0.7000000000000002,Unknown,3.8480000000000047,0.34800000000000475
Cameron Johnson,-162.0,114.0,3.5,6.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,6.0,5.0,4.2,3.85,-14.833333333333334,0.7000000000000002,Unknown,3.8460000000000054,0.3460000000000054
Cameron Payne,-210.0,160.0,0.5,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,3.0,1.5,1.0,-16.5,1.0,Unknown,1.0745000000000007,0.5745000000000007
Carlton Carrington,-115.0,-115.0,4.5,2.0,5.0,5.0,5.0,8.0,1.0,5.0,3.0,8.0,4.0,4.6,4.55,-75.16666666666667,0.0999999999999996,Unknown,4.537500000000006,0.03750000000000586
Cason Wallace,-175.0,135.0,3.5,0.0,4.0,5.0,3.0,3.0,3.0,6.0,2.0,3.0,0.0,2.9,3.2,-12.166666666666666,-0.6000000000000001,Unknown,3.207649999999995,-0.2923500000000052
Chris Paul,100.0,-134.0,3.5,1.0,4.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,5.0,2.0,2.75,-10.166666666666666,-1.5,Unknown,2.8180000000000005,-0.6819999999999995
Coby White,-136.0,100.0,3.5,3.0,5.0,4.0,7.0,4.0,1.0,5.0,4.0,2.0,4.0,3.9,3.7,-10.833333333333334,0.3999999999999999,Unknown,3.7009999999999947,0.20099999999999474
Cole Anthony,-122.0,-108.0,3.5,4.0,4.0,1.0,7.0,5.0,1.0,9.0,5.0,6.0,1.0,4.3,3.9,-75.5,0.7999999999999998,Unknown,3.9064999999999954,0.4064999999999954
Corey Kispert,-110.0,-120.0,3.5,1.0,3.0,2.0,5.0,3.0,3.0,1.0,2.0,4.0,2.0,2.6,3.05,-75.5,-0.8999999999999999,Unknown,3.0856500000000024,-0.41434999999999755
D'Angelo Russell,-130.0,-104.0,2.5,6.0,0.0,1.0,0.0,5.0,3.0,2.0,0.0,4.0,1.0,2.2,2.35,-77.16666666666667,-0.2999999999999998,Unknown,2.345999999999997,-0.15400000000000302
Davion Mitchell,124.0,-160.0,2.5,3.0,4.0,1.0,4.0,3.0,0.0,1.0,4.0,2.0,0.0,2.2,2.35,-11.166666666666666,-0.2999999999999998,Unknown,2.3509999999999973,-0.14900000000000269
De'Aaron Fox,-150.0,100.0,4.5,2.0,4.0,3.0,4.0,3.0,3.0,3.0,7.0,5.0,9.0,4.3,4.4,-15.166666666666666,-0.2000000000000001,Unknown,4.389499999999996,-0.1105000000000036
DeMar DeRozan,-166.0,130.0,3.5,7.0,9.0,6.0,2.0,2.0,6.0,7.0,4.0,4.0,4.0,5.1,4.3,-10.833333333333334,1.5999999999999996,Unknown,4.642500000000007,1.1425000000000072
Deni Avdija,-110.0,-121.0,6.5,6.0,6.0,12.0,2.0,14.0,4.0,4.0,5.0,6.0,3.0,6.2,6.35,-74.83333333333333,-0.2999999999999998,Unknown,6.339500000000006,-0.16049999999999365
Derrick White,-152.0,105.0,3.5,5.0,3.0,3.0,3.0,1.0,3.0,3.0,9.0,10.0,7.0,4.7,4.1,-14.5,1.2000000000000002,Unknown,4.198500000000004,0.6985000000000037
Desmond Bane,-112.0,-120.0,6.5,9.0,16.0,6.0,10.0,12.0,3.0,5.0,7.0,5.0,6.0,7.9,7.2,-75.16666666666667,1.4000000000000004,Unknown,7.2195,0.7195
Devin Booker,-150.0,100.0,3.5,3.0,6.0,5.0,4.0,0.0,7.0,3.0,4.0,4.0,2.0,3.8,3.65,-15.5,0.2999999999999998,Unknown,3.649999999999996,0.14999999999999591
Devin Vassell,-115.0,-115.0,4.5,4.0,2.0,11.0,3.0,6.0,5.0,5.0,3.0,1.0,2.0,4.2,4.35,-75.16666666666667,-0.2999999999999998,Unknown,4.348000000000006,-0.15199999999999392
