Over,Jordan Poole,106,4.5
Under,Jordan Poole,-141,4.5
Over,Jordan Poole,120,4.5
Under,Jordan Poole,-160,4.5
Over,Kawhi Leonard,134,3.5
Under,Kawhi Leonard,-180,3.5
Over,Kawhi Leonard,124,3.5
Under,Kawhi Leonard,-160,3.5
Over,Kawhi Leonard,118,3.5
Under,Kawhi Leonard,-154,3.5
Over,Kawhi Leonard,125,3.5
Under,Kawhi Leonard,-165,3.5
Over,Kawhi Leonard,114,3.5
Under,Kawhi Leonard,-152,3.5
Over,Kawhi Leonard,130,3.5
Under,Kawhi Leonard,-170,3.5
Over,Keon Johnson,100,2.5
Under,Keon Johnson,-130,2.5
Over,Khris Middleton,-110,3.5
Under,Khris Middleton,-118,3.5
Over,Khris Middleton,-108,3.5
Under,Khris Middleton,-122,3.5
Over,Khris Middleton,-115,3.5
Under,Khris Middleton,-115,3.5
Over,Khris Middleton,-110,3.5
Under,Khris Middleton,-120,3.5
Over,Khris Middleton,-110,3.5
Under,Khris Middleton,-120,3.5
Over,Kris Dunn,-125,3.5
Under,Kris Dunn,-106,3.5
Under,Kris Dunn,100,3.5
Over,Kris Dunn,-130,3.5
Over,Kris Dunn,-147,3.5
Under,Kris Dunn,114,3.5
Over,Kris Dunn,-155,3.5
Under,Kris Dunn,115,3.5
Over,Kris Dunn,-143,3.5
Under,Kris Dunn,108,3.5
Over,Kris Dunn,-160,3.5
Under,Kris Dunn,120,3.5
Over,Kyle Kuzma,-185,1.5
Under,Kyle Kuzma,135,1.5
Over,Kyshawn George,130,3.5
Under,Kyshawn George,-169,3.5
Under,Kyshawn George,-154,3.5
Over,Kyshawn George,120,3.5
Over,Kyshawn George,130,3.5
Under,Kyshawn George,-175,3.5
Over,Kyshawn George,125,3.5
Under,Kyshawn George,-167,3.5
Over,Kyshawn George,135,3.5
Under,Kyshawn George,-180,3.5
Over,Malik Beasley,175,1.5
Under,Malik Beasley,-235,1.5
Over,Marcus Smart,118,3.5
Under,Marcus Smart,-154,3.5
Over,Marcus Smart,130,3.5
Under,Marcus Smart,-174,3.5
Over,Marcus Smart,114,3.5
Under,Marcus Smart,-145,3.5
Over,Marcus Smart,115,3.5
Under,Marcus Smart,-155,3.5
Over,Marcus Smart,125,3.5
Under,Marcus Smart,-165,3.5
Over,Max Strus,128,3.5
Under,Max Strus,-172,3.5
Over,Max Strus,-175,2.5
Under,Max Strus,135,2.5
Over,Max Strus,130,3.5
Under,Max Strus,-175,3.5
Over,Max Strus,120,3.5
Under,Max Strus,-159,3.5
Over,Max Strus,135,3.5
Under,Max Strus,-180,3.5
Over,Myles Turner,-155,1.5
Under,Myles Turner,115,1.5
Over,Nicolas Batum,140,1.5
Under,Nicolas Batum,-190,1.5
Over,Nicolas Claxton,-110,2.5
Under,Nicolas Claxton,-120,2.5
Over,Nicolas Claxton,-122,2.5
Under,Nicolas Claxton,-106,2.5
Over,Nicolas Claxton,-120,2.5
Under,Nicolas Claxton,-110,2.5
Over,Nicolas Claxton,-130,2.5
Under,Nicolas Claxton,100,2.5
Over,Pascal Siakam,128,3.5
Under,Pascal Siakam,-172,3.5
Over,Pascal Siakam,124,3.5
Under,Pascal Siakam,-160,3.5
Over,Pascal Siakam,138,3.5
Under,Pascal Siakam,-186,3.5
Over,Pascal Siakam,110,3.5
Under,Pascal Siakam,-145,3.5
Over,Richaun Holmes,105,1.5
Under,Richaun Holmes,-140,1.5
Over,Ron Holland,-150,0.5
Under,Ron Holland,110,0.5
Over,Simone Fontecchio,-130,0.5
Under,Simone Fontecchio,-105,0.5
Over,Taurean Prince,140,2.5
Under,Taurean Prince,-190,2.5
Over,Taurean Prince,136,2.5
Under,Taurean Prince,-179,2.5
Over,Tim Hardaway Jr,-145,1.5
Under,Tim Hardaway Jr,105,1.5
Over,Tobias Harris,-190,1.5
Under,Tobias Harris,140,1.5
Over,Trey Murphy III,-130,3.5
Under,Trey Murphy III,-102,3.5
Under,Trey Murphy III,-105,3.5
Over,Trey Murphy III,-125,3.5
Over,Trey Murphy III,-132,3.5
Under,Trey Murphy III,102,3.5
Over,Trey Murphy III,-145,3.5
Under,Trey Murphy III,110,3.5
Over,Trey Murphy III,-137,3.5
Under,Trey Murphy III,104,3.5
Over,Trey Murphy III,-125,3.5
Under,Trey Murphy III,-105,3.5
Over,Tyrese Haliburton,100,9.5
Under,Tyrese Haliburton,-132,9.5
Over,Tyrese Haliburton,100,9.5
Under,Tyrese Haliburton,-130,9.5
Over,Tyrese Haliburton,-118,9.5
Under,Tyrese Haliburton,-110,9.5
Over,Tyrese Haliburton,-103,9.5
Under,Tyrese Haliburton,-130,9.5
Over,Tyrese Haliburton,-115,9.5
Under,Tyrese Haliburton,-115,9.5
Over,Yves Missi,-210,0.5
Under,Yves Missi,155,0.5
Over,Ziaire Williams,100,1.5
Under,Ziaire Williams,-135,1.5
Over,Zion Williamson,-138,4.5
Under,Zion Williamson,104,4.5
Over,Zion Williamson,-154,4.5
Under,Zion Williamson,120,4.5
Over,Zion Williamson,-164,4.5
Under,Zion Williamson,126,4.5
Over,Zion Williamson,-150,4.5
Under,Zion Williamson,110,4.5
Over,Zion Williamson,-136,4.5
Under,Zion Williamson,102,4.5
Over,Zion Williamson,-150,4.5
Under,Zion Williamson,115,4.5
