player,best_over_odds,best_under_odds,best_point,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,average,category,AI_Projection,AI_Edge
Onyeka Okongwu,-105.0,-130.0,10.0,5.0,16.0,13.0,9.0,12.0,13.0,9.0,8.0,9.0,7.0,10.1,Rebounds,10.522050000000013,0.5220500000000126
P.J. Washington,-149.0,100.0,7.0,5.0,10.0,4.0,7.0,3.0,13.0,14.0,9.0,8.0,19.0,9.2,Rebounds,8.587949999999996,1.5879499999999958
Payton Pritchard,-174.0,130.0,2.0,1.0,2.0,4.0,10.0,1.0,0.0,3.0,7.0,4.0,0.0,3.2,Rebounds,3.3064499999999994,1.3064499999999994
Peyton Watson,110.0,-143.0,3.0,1.0,0.0,2.0,3.0,4.0,1.0,5.0,3.0,6.0,1.0,2.6,Rebounds,2.4454500000000015,-0.5545499999999985
Quentin Grimes,-122.0,-108.0,4.0,7.0,1.0,8.0,3.0,6.0,6.0,1.0,3.0,7.0,7.0,4.9,Rebounds,4.982250000000004,0.9822500000000041
Royce O'Neale,100.0,-130.0,4.0,4.0,8.0,1.0,3.0,5.0,3.0,1.0,4.0,4.0,5.0,3.8,Rebounds,4.128600000000007,0.1286000000000067
Rudy Gobert,-108.0,-122.0,9.0,8.0,14.0,8.0,11.0,10.0,15.0,13.0,16.0,9.0,5.0,10.9,Rebounds,10.840200000000005,1.8402000000000047
Russell Westbrook,-135.0,100.0,5.0,5.0,11.0,3.0,5.0,3.0,4.0,6.0,3.0,4.0,3.0,4.7,Rebounds,4.972800000000001,-0.02719999999999878
Scoot Henderson,124.0,-160.0,3.0,2.0,5.0,4.0,2.0,3.0,4.0,3.0,2.0,5.0,1.0,3.1,Rebounds,3.3621000000000048,0.36210000000000475
Scottie Barnes,-145.0,114.0,7.0,13.0,2.0,12.0,13.0,3.0,8.0,3.0,9.0,6.0,11.0,8.0,Rebounds,7.984199999999995,0.9841999999999951
Shaedon Sharpe,-125.0,-104.0,4.0,7.0,4.0,3.0,6.0,11.0,6.0,4.0,8.0,2.0,3.0,5.4,Rebounds,5.741399999999996,1.741399999999996
Shai Gilgeous-Alexander,-165.0,120.0,4.0,3.0,8.0,2.0,5.0,4.0,3.0,6.0,10.0,8.0,2.0,5.1,Rebounds,5.146050000000003,1.1460500000000033
Tari Eason,-110.0,-120.0,6.0,7.0,2.0,2.0,14.0,4.0,6.0,3.0,9.0,6.0,4.0,5.7,Rebounds,6.004950000000001,0.004950000000000898
Terry Rozier,-103.0,-125.0,2.0,6.0,4.0,2.0,1.0,5.0,1.0,1.0,2.0,2.0,3.0,2.7,Rebounds,2.747850000000001,0.747850000000001
Toumani Camara,-135.0,100.0,5.0,1.0,5.0,10.0,4.0,9.0,5.0,3.0,5.0,8.0,10.0,6.0,Rebounds,6.130950000000005,1.1309500000000048
Trae Young,128.0,-166.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.5,Rebounds,2.406600000000002,-0.5933999999999982
Tyler Herro,-140.0,-102.0,4.0,3.0,8.0,6.0,3.0,4.0,3.0,2.0,6.0,7.0,3.0,4.5,Rebounds,4.561200000000003,0.561200000000003
Vincent Williams Jr,-140.0,101.0,4.0,,,,,,,,,,,,Rebounds,4.856250000000002,0.856250000000002
Walker Kessler,-105.0,-125.0,11.0,10.0,25.0,9.0,13.0,14.0,17.0,19.0,8.0,12.0,22.0,14.9,Rebounds,11.773650000000009,0.7736500000000088
Zaccharie Risacher,-145.0,102.0,3.0,8.0,1.0,4.0,4.0,1.0,9.0,3.0,3.0,6.0,12.0,5.1,Rebounds,5.0358000000000045,2.0358000000000045
Zach Edey,-110.0,-120.0,8.0,,,,,,,,,,,,Rebounds,6.578249999999997,-1.421750000000003
description,,,,,,,,,,,,,,,Rebounds,4.940250000000002,
